iter	Logloss
0	0.6840690126
1	0.6755528604
2	0.6670131621
3	0.6598118976
4	0.6533028337
5	0.6469217869
6	0.6412228954
7	0.6349160632
8	0.6290772609
9	0.6246062248
10	0.6202596297
11	0.6164830442
12	0.6122947226
13	0.6081448945
14	0.6042399303
15	0.600896377
16	0.5976083943
17	0.5941445386
18	0.5907432451
19	0.5878574354
20	0.5852797749
21	0.581987774
22	0.5791799157
23	0.5770350865
24	0.5749774503
25	0.5727926409
26	0.5709548358
27	0.5691914461
28	0.567429945
29	0.5657403681
30	0.564215775
31	0.562819199
32	0.5613124061
33	0.5600299848
34	0.5587840881
35	0.5576024008
36	0.5561053318
37	0.5545137969
38	0.5536984813
39	0.5527811459
40	0.5520751632
41	0.5513321737
42	0.5503493831
43	0.548931712
44	0.5479802627
45	0.5469897573
46	0.546206667
47	0.5456069635
48	0.5448033004
49	0.544156826
50	0.5435567608
51	0.543036174
52	0.5425921723
53	0.5416046404
54	0.5407030157
55	0.5398744805
56	0.539140813
57	0.5384811994
58	0.5379078547
59	0.5375853608
60	0.5367346457
61	0.5362820051
62	0.5353484766
63	0.5350386398
64	0.5345452555
65	0.5342235653
66	0.5337814924
67	0.5334134331
68	0.5329900042
69	0.5326569829
70	0.532169224
71	0.5317244589
72	0.5313001461
73	0.530873784
74	0.5305661973
75	0.5302070984
76	0.529724764
77	0.5294059266
78	0.5289163998
79	0.5284073047
80	0.5282450532
81	0.5276866157
82	0.5274196924
83	0.5270378108
84	0.5266489377
85	0.5263849476
86	0.526101108
87	0.5256923452
88	0.5250860921
89	0.5247931314
90	0.5244976393
91	0.5241862354
92	0.5239255
93	0.5237186475
94	0.5235745981
95	0.5232483272
96	0.5229903642
97	0.5227260527
98	0.5225861018
99	0.5223748695
100	0.5220873332
101	0.5215467361
102	0.5213557953
103	0.5209963348
104	0.5207316215
105	0.5204599568
106	0.5202334958
107	0.5200475375
108	0.5198056068
109	0.5193412736
110	0.5186906203
111	0.5184934514
112	0.5181973566
113	0.5180233321
114	0.5178720902
115	0.5176635501
116	0.5175659099
117	0.5172612163
118	0.5168968939
119	0.5164784475
120	0.5159772279
121	0.5158233341
122	0.5154865358
123	0.5151679395
124	0.514907847
125	0.514572013
126	0.5143569635
127	0.5141534058
128	0.5139565986
129	0.5137390177
130	0.5134192963
131	0.5132381597
132	0.5128470767
133	0.512613343
134	0.5124019902
135	0.5123006533
136	0.5121649616
137	0.5119252811
138	0.5118133364
139	0.5113848447
140	0.5112856375
141	0.5111781529
142	0.5107087166
143	0.5105982586
144	0.5105022257
145	0.5102885826
146	0.5099135318
147	0.5097862379
148	0.5094430106
149	0.5092750132
150	0.5090894165
151	0.5088698266
152	0.508706209
153	0.5085175987
154	0.508264136
155	0.5081264755
156	0.5080617838
157	0.5078946303
158	0.5076035982
159	0.5073289199
160	0.5070826497
161	0.5069332964
162	0.506700527
163	0.5063676263
164	0.5062372385
165	0.5060576288
166	0.5058230914
167	0.5055907239
168	0.5053715759
169	0.5051628349
170	0.5049945563
171	0.5047875028
172	0.5046487172
173	0.5044392529
174	0.5041616012
175	0.5040634386
176	0.5038655063
177	0.5036088694
178	0.503521837
179	0.503354804
180	0.5031345711
181	0.5028314848
182	0.5025488908
183	0.5023392658
184	0.5021482848
185	0.5019423565
186	0.5017696177
187	0.501634368
188	0.5014263502
189	0.5012131491
190	0.5010598982
191	0.5008296602
192	0.5006085836
193	0.5004405461
194	0.500219389
195	0.5000839786
196	0.49993788
197	0.4998635047
198	0.4995837234
199	0.4993361272
200	0.4991064517
201	0.4988674543
202	0.4987256952
203	0.4985148246
204	0.4983315986
205	0.4981215717
206	0.4978550502
207	0.4977077462
208	0.4974303355
209	0.4972109465
210	0.4970569724
211	0.4968127112
212	0.4966149798
213	0.4963494226
214	0.4960620069
215	0.4958053298
216	0.4956391405
217	0.4955300086
218	0.495397009
219	0.4952261989
220	0.4951160624
221	0.494975991
222	0.494884378
223	0.494706938
224	0.4944663333
225	0.4941232266
226	0.4940070227
227	0.4938618482
228	0.4937710388
229	0.4935172949
230	0.4933169116
231	0.4929801534
232	0.4927845114
