iter	Passed	Remaining
0	7	7202
1	12	5988
2	16	5492
3	22	5583
4	27	5420
5	31	5251
6	37	5284
7	42	5260
8	47	5191
9	53	5331
10	58	5281
11	63	5209
12	68	5221
13	73	5191
14	79	5192
15	84	5177
16	90	5226
17	95	5194
18	100	5174
19	106	5235
20	112	5221
21	117	5245
22	123	5240
23	128	5212
24	135	5284
25	140	5272
26	146	5264
27	153	5343
28	161	5402
29	170	5519
30	176	5502
31	182	5520
32	187	5502
33	193	5487
34	199	5497
35	204	5471
36	209	5439
37	214	5438
38	220	5423
39	225	5408
40	231	5407
41	236	5386
42	241	5364
43	246	5345
44	250	5324
45	255	5306
46	260	5289
47	266	5283
48	271	5265
49	275	5242
50	281	5238
51	286	5223
52	291	5204
53	297	5211
54	303	5214
55	308	5208
56	316	5235
57	322	5240
58	332	5295
59	340	5336
60	348	5369
61	355	5382
62	363	5410
63	371	5432
64	380	5469
65	386	5469
66	395	5501
67	401	5496
68	407	5502
69	414	5504
70	419	5494
71	428	5521
72	435	5527
73	440	5516
74	445	5498
75	451	5483
76	457	5482
77	462	5465
78	467	5451
79	475	5467
80	480	5451
81	485	5435
82	491	5434
83	497	5423
84	502	5410
85	508	5404
86	513	5391
87	518	5378
88	524	5371
89	529	5353
90	534	5336
91	541	5345
92	546	5333
93	552	5328
94	559	5329
95	564	5314
96	570	5306
97	575	5293
98	580	5282
99	587	5287
100	592	5272
101	597	5256
102	605	5269
103	609	5254
104	614	5239
105	620	5234
106	625	5219
107	629	5203
108	636	5200
109	641	5189
110	646	5176
111	652	5169
112	656	5153
113	661	5138
114	667	5133
115	671	5120
116	677	5112
117	684	5117
118	690	5109
119	694	5095
120	700	5088
121	705	5074
122	709	5061
123	715	5052
124	719	5037
125	724	5028
126	730	5018
127	736	5014
128	740	5002
129	745	4987
130	750	4976
131	754	4963
132	759	4948
133	764	4943
134	769	4930
135	774	4917
136	779	4911
137	784	4902
138	790	4894
139	797	4900
140	804	4900
141	809	4892
142	816	4891
143	822	4887
144	829	4893
145	836	4891
146	843	4892
147	849	4888
148	855	4883
149	861	4883
150	867	4879
151	873	4873
152	880	4872
153	885	4863
154	893	4868
155	899	4864
156	904	4855
157	910	4851
158	915	4842
159	921	4835
160	928	4837
161	934	4832
162	939	4822
163	944	4815
164	949	4805
165	954	4794
166	960	4789
167	965	4779
168	970	4770
169	976	4766
170	981	4757
171	986	4747
172	992	4744
173	998	4738
174	1003	4733
175	1010	4730
176	1015	4722
177	1020	4714
178	1026	4705
179	1031	4696
180	1035	4687
181	1042	4687
182	1047	4678
183	1054	4676
184	1059	4666
185	1064	4657
186	1069	4649
187	1074	4641
188	1079	4632
189	1084	4624
190	1090	4617
191	1095	4608
192	1099	4599
193	1106	4597
194	1112	4592
195	1117	4584
196	1122	4576
197	1127	4565
198	1132	4559
199	1138	4554
200	1143	4544
201	1148	4537
202	1154	4530
203	1158	4521
204	1163	4511
205	1168	4505
206	1173	4497
207	1178	4489
208	1184	4484
209	1189	4475
210	1194	4467
211	1200	4463
212	1205	4454
213	1210	4447
214	1217	4446
215	1223	4439
216	1227	4430
217	1233	4425
218	1238	4416
219	1243	4407
220	1249	4403
221	1254	4395
222	1258	4386
223	1264	4381
224	1270	4377
225	1277	4374
226	1283	4370
227	1288	4364
228	1295	4360
229	1300	4355
230	1306	4350
231	1315	4354
232	1321	4351
233	1328	4347
234	1333	4341
235	1339	4336
236	1347	4338
237	1353	4334
238	1361	4335
239	1370	4339
240	1377	4338
241	1383	4331
242	1390	4333
243	1397	4329
244	1403	4325
245	1411	4324
246	1418	4323
247	1425	4322
248	1430	4315
249	1436	4308
250	1442	4305
251	1447	4297
252	1452	4289
253	1459	4286
254	1465	4281
255	1474	4284
256	1480	4279
257	1487	4276
258	1493	4273
259	1499	4266
260	1504	4259
261	1509	4253
262	1515	4245
263	1521	4242
264	1527	4235
265	1532	4228
266	1540	4229
267	1546	4224
268	1552	4220
269	1560	4220
270	1568	4218
271	1574	4214
272	1580	4209
273	1589	4212
274	1597	4210
275	1604	4209
276	1611	4206
277	1618	4204
278	1624	4198
279	1630	4192
280	1637	4188
281	1643	4185
282	1652	4185
283	1657	4179
284	1663	4172
285	1670	4169
286	1675	4162
287	1680	4154
288	1686	4148
289	1691	4140
290	1695	4132
291	1701	4125
292	1706	4117
293	1711	4110
294	1717	4104
295	1722	4097
296	1727	4089
297	1733	4084
298	1738	4076
299	1745	4071
300	1751	4067
301	1758	4064
302	1767	4064
303	1773	4061
304	1781	4059
305	1787	4054
306	1794	4051
307	1800	4045
308	1806	4039
309	1814	4038
310	1820	4032
311	1826	4027
312	1832	4022
313	1838	4016
314	1845	4013
315	1851	4007
316	1857	4001
317	1863	3996
318	1868	3989
319	1873	3981
320	1879	3976
321	1885	3969
322	1889	3961
323	1895	3954
324	1899	3945
325	1904	3937
326	1911	3933
327	1916	3927
328	1921	3919
329	1927	3913
330	1932	3905
331	1936	3896
332	1942	3890
333	1947	3882
334	1953	3876
335	1962	3877
336	1967	3871
337	1975	3868
338	1981	3862
339	1987	3858
340	1995	3855
341	2000	3848
342	2006	3843
343	2011	3836
344	2016	3828
345	2023	3825
346	2029	3819
347	2037	3817
348	2043	3811
349	2048	3804
350	2056	3802
351	2061	3795
352	2067	3789
353	2073	3783
354	2078	3776
355	2083	3769
356	2090	3765
357	2095	3758
358	2100	3750
359	2107	3746
360	2112	3738
361	2117	3731
362	2122	3725
363	2127	3717
364	2132	3710
365	2138	3704
366	2143	3696
367	2147	3688
368	2153	3682
369	2157	3674
370	2162	3666
371	2168	3660
372	2173	3654
373	2178	3647
374	2185	3641
375	2190	3634
376	2194	3626
377	2200	3620
378	2205	3613
379	2210	3605
380	2215	3599
381	2220	3591
382	2224	3584
383	2229	3576
384	2234	3569
385	2239	3562
386	2245	3557
387	2252	3552
388	2257	3546
389	2262	3539
390	2268	3533
391	2274	3527
392	2282	3524
393	2288	3520
394	2294	3514
395	2301	3510
396	2307	3504
397	2314	3500
398	2320	3495
399	2326	3489
400	2332	3484
401	2337	3477
402	2344	3472
403	2349	3465
404	2354	3458
405	2360	3452
406	2364	3445
407	2369	3438
408	2376	3434
409	2381	3427
410	2386	3420
411	2395	3418
412	2402	3414
413	2408	3409
414	2415	3404
415	2420	3398
416	2427	3393
417	2432	3386
418	2438	3380
419	2444	3375
